item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies
book,"Cold Mountain: A Novel","Charles Frazier",Charles,Frazier,9780375700750,0375700757,"NOW A MAJOR MOTION PICTUREOne of the most acclaimed novels in recent memory, Charles Frazier&#039;s Cold Mountain is a masterpiece that is at once an enthralling adventure, a stirring love story, and a luminous evocation of a vanished American in all its savagery, solitude, and splendor.  Sorely wounded and fatally disillusioned in the fighting at Petersburg, Inman, a Confederate soldier, decides to walk back to his home in the Blue Ridge Mountains and to Ada, the woman he loved there years before.  His trek across the disintegrating South brings him into intimate and sometimes lethal converse with slaves and marauders, bounty hunters and witches, both helpful and malign.  At the same time, Ada is trying to revive her father&#039;s derelict farm and learn to survive in a world where the old certainties have been swept away.  As it interweaves their stories, Cold Mountain asserts itself as an authentic American Odyssey--hugely powerful, majestically lovely, and keenly moving.",Vintage,1998-08-12,,,,,464,,,,,,,,,,,,,2025-06-13,1
book,"Themen Aktuell: 1: Kursbuch (German Edition)","Hartmut Aufderstrasse",Hartmut,Aufderstrasse,9783190016907,3190016909,"Neu: Bei allen Ausgaben enthält das Kursbuch »Themen aktuell 1« jetzt gratis die CD-ROM zum multimedialen Üben.

Themen aktuell ist die aktualisierte und optisch völlig überarbeitete Ausgabe von Themen neu. Themen aktuell bietet durchgehend neue Zeichnungen und Fotos in einem modernen Layout. Einige Texte und Übungen wurden inhaltlich der heutigen Zeit angepasst.

Zielgruppe: Erwachsene Anfänger in Grundstufenkursen an Volkshochschulen, Goethe-Instituten, Universitäten, privaten Sprachschulen und anderen Institutionen weltweit, die Kurse in Deutsch als Fremdsprache erteilen.

Lernziel: Kommunikation in Alltagssituationen; aktive Teilnahme an Gesprächen über allgemein interessierende Themen; sinnvoller Umgang mit einfachen literarischen und feuilletonistischen Texten sowie Sachtexten.
Themen aktuell 1 führt bis zur Niveaustufe A1 nach dem Referenzrahmen des Europarats, Themen aktuell 2 zum Niveau A2 und Themen aktuell Zertifikatsband zum Niveau B1 (Zertifikat Deutsch).

Konzeption: Themen aktuell ist ein Lehrwerk mit kommunikativer Zielsetzung, d. h. mit Anstößen zu authentischen Gesprächen und zur Erarbeitung von Redemitteln, die für eine reibungslose Kommunikation im Alltag wichtig sind. Fertigkeitsspezifische Übungen sind eingebettet in eine systematische Progression der Lexik und der grammatikalischen Strukturen.
Textverstehen: Besonderes Gewicht liegt auf der Übung des Hörverstehens und des Leseverstehens durch ein breites Angebot speziell ausgewählter bzw. bearbeiteter Hör- und Lesetexte. 
Grammatik: Das Verständnis für die grammatikalischen Strukturen wird induktiv aus den Texten heraus erarbeitet. Grammatikübersichten ermöglichen eine schnelle Orientierung über den schon gelernten Stoff.
Wortschatz: Durch zahlreiche Übungen und durch Kontrolllisten wird eine sichere Beherrschung des Wortschatzes erreicht.","Max Hueber Verlag",2002-11-01,,,,,160,,,,,,,,,,,,,2025-06-13,1
book,"The New Young Oxford Book of Ghost Stories (Vol 2)",,,,9780192781543,0192781545,"Following the success of &quot;The Young Oxford Book of Ghost Stories&quot;, here is a second volume. The stories are drawn from the early twentieth century tradition of ghost stories, together with contemporary stories that develop and extend this tradition. An additional feature to this collection is that it contains original stories that have been specially commissioned for these books.","Oxford University Press",1999-12-16,,,,,224,,,,,,,,,,,,,2025-06-13,1
book,Awake,"Elizabeth Graver",Elizabeth,Graver,9780805065398,0805065393,"A mother seeks freedom for her young son&mdash;and rediscovers her own need for it in the process&mdash;in this powerful novel about family, identity, and loveOnce a painter, a traveler, a lover of light, Anna Simon has been living in the dark ever since she gave birth to Max, a child with a rare genetic disease for whom even an hour in sunlight could prove fatal. For years, Anna has home schooled Max and structured her life around his, despite the fact that her husband, Ian, favors mainstreaming. When Anna learns of a camp in upstate New York for children with the disease, she sees room for a compromise&mdash;a sanctuary for Max, a place where he can interact with other children and be both safe and free. And so the summer that Max is nine, the family heads off to Camp Luna. At first, it seems like the answer to their problems. But as Anna is drawn into life there and gets to know Hal, the camp&rsquo;s charismatic founder, freedom and safety prove to be complicated things. What begins as a novel about a mother with a sick child quickly becomes an intricate examination of one woman&rsquo;s identity as Anna&mdash;given sudden breathing room&mdash;looks around at her life and finds that she has lost track of essential pieces of herself. What, exactly, are safety and freedom? And at what cost&mdash;to one&rsquo;s self and the people in one&rsquo;s life&mdash;should they be protected and pursued?Beautifully written, emotionally wrenching, Awake showcases the strengths of Elizabeth Graver&rsquo;s acclaimed previous novel, The Honey Thief, the focus shifting from childhood to adulthood, to limn the passions and intricacies of a woman&rsquo;s mind and heart.","Henry Holt and Co.",2004-04-07,,,,,304,,,,,,,,,,,,,2025-06-13,1
book,"Sammy Spider's First Passover","Sylvia Rouss",Sylvia,Rouss,9780929371825,0929371828,"Sammy wants to help Josh find the afikomen but his mother reminds him, &quot;{Spiders don&#039;t celebrate Passover. Spiders spin webs. His first attempt yields some surprising results.","Kar-Ben Publishing",1995-03-01,,,,,32,,,,,,,,,,,,,2025-06-13,1
book,"Sammy Spider's First Mitzvah (Kar-Ben Favorites)","Sylvia A. Rouss",Sylvia,Rouss,9781467719483,146771948X,"Sammy Spider is back in his fifteenth adventure story, learning about Jewish holidays and values with his buddy Josh Shapiro. In this story, when Josh gets a cold, his friend Moti delivers some chicken soup to him, and Sammy Spider learns about the mitzvah of visiting the sick. You’ll also learn the Hebrew word for “Gesundheit!”","Kar-Ben Publishing",2014-08-01,,,,,24,,,,,,,,,,,,,2025-06-13,1
